year,week_num,home_abbr,vis_abbr,home_penalty_count,home_penalty_yards,visitor_penalty_count,visitor_penalty_yards,ref_lname,ref_fname,umpire_lname,umpire_fname,down_judge_lname,down_judge_fname,line_judge_lname,line_judge_fname,side_judge_lname,side_judge_fname,back_judge_lname,back_judge_fname,field_judge_lname,field_judge_fname,head_linesman_lname,head_linesman_fname
2017,1,BUF,NYJ,6,50,5,62,Hussey,John,Michalek,Tony,Walker,Ed,Marinucci,Ron,Baynes,Allen,Ferguson,Keith,Buchanan,Jimmy,not_given,not_given
2017,1,CHI,ATL,4,40,8,73,Triplette,Jeff,Fowler,Ruben,Bergman,Jerry,Short,Danny,Brown,Terry,Freeman,Steve,Gautreaux,Greg,not_given,not_given
2017,1,CIN,BAL,9,66,11,85,Coleman,Walt,Rice,Jeff,Bowers,Derick,Codey,Kevin,Coleman,James,Miles,Terrence,Novak,Scott,not_given,not_given
2017,1,CLE,PIT,4,61,13,144,Wrolstad,Craig,Anderson,Barry,Hittner,Mark,Mapp,Julian,Lamberth,Jeff,Dyer,Lee,Zimmer,Steve,not_given,not_given
2017,1,DAL,NYG,5,50,6,55,Cheffers,Carl,Martin,Clay,Symonette,Tom,Payne,Kent,Freeman,Brad,Quirk,Jim,Robinson,Mearl,not_given,not_given
2017,1,DEN,LAC,3,62,4,40,McAulay,Terry,Woods,Steven,Bergman,Jerry,Johnson,Carl,Banks,Michael,Martinez,Rich,Monroe,Jonah,not_given,not_given
2017,1,DET,ARI,10,100,6,55,Anderson,Walt,Paganelli,Carl,Phillips,Jerod,Boston,Byron,Kemp,Alex,Wilson,Gregory,Jenkins,Darrell,not_given,not_given
2017,1,GB,SEA,8,70,8,50,Parry,John,Pellis,Mark,Spanier,Michael,Seeman,Jeff,Washington,Keith,Paganelli,Perry,Meslow,David,not_given,not_given
2017,1,HOU,JAX,9,94,10,89,Corrente,Tony,Eck,Alan,Turner,Patrick,Longson,Bart,Dickson,Ryan,Prukop,Todd,Horton,Buddy,not_given,not_given
2017,1,LAR,IND,7,50,4,20,Torbert,Ronald,King,Paul,Thomas,Sarah,Steinkerchner,Mark,Santi,Aaron,Yette,Greg,Edwards,Scott,not_given,not_given
2017,1,MIN,NO,5,50,6,52,Steratore,Gene,Ellison,Roy,Oliver,David,Arthur,Gary,Hill,Adrian,Paganelli,Dino,Weatherford,Mike,not_given,not_given
2017,1,NE,KC,6,55,15,139,Vinovich,Bill,Stritesky,Bruce,McKinnely,Phil,Perlman,Mark,Cavaletto,Gary,Meyer,Greg,Patterson,Rick,not_given,not_given
2017,1,SF,CAR,10,74,5,40,Blakeman,Clete,Ramon,George,Cruz,Hugo,McKenzie,Dana,Prioleau,Dyrol,Patrick,Steve,Larrew,Joe,not_given,not_given
2017,1,TEN,LV,5,49,5,49,Boger,Jerome,Hall,Richard,Camp,Ed,Carr,Mike,Hall,Eugene,Steratore,Tony,Coleman,Walt,not_given,not_given
2017,1,WAS,PHI,2,15,8,76,Allen,Brad,Bryan,Fred,Mello,Jim,Bolinger,Brian,Hill,Tom,Hochuli,Shawn,Walker,Jabir,not_given,not_given
2017,2,ATL,GB,6,34,10,70,Anderson,Walt,Paganelli,Carl,Phillips,Jerod,Boston,Byron,Hayes,Laird,Wilson,Gregory,Jenkins,John,not_given,not_given
